cliente_id,nome,sobrenome,data_nascimento,endereco,telefone,email
259,Beatriz,Nascimento,1985-01-31,"Rua A, 123",+55 21 7339-5574,beatriz.nascimento@exemplo.com
260,Mariana,Almeida,1964-02-29,"Alameda E, 202",+55 21 5604-4855,mariana.almeida@exemplo.com
261,Gabriel,Gomes,1969-02-09,"Avenida B, 456",+55 21 7876-6469,gabriel.gomes@exemplo.com
262,Maria,Silva,1964-01-21,"Alameda E, 202",+55 21 4622-8689,maria.silva@exemplo.com
263,Pedro,Costa,1969-09-27,"Travessa C, 789",+55 21 9914-1715,pedro.costa@exemplo.com
264,João,Lima,1980-10-10,"Avenida B, 456",+55 21 6261-5910,joão.lima@exemplo.com
265,Mariana,Nascimento,1998-03-01,"Travessa C, 789",+55 21 2184-2040,mariana.nascimento@exemplo.com
266,Pedro,Costa,1969-01-12,"Praça D, 101",+55 21 8022-5692,pedro.costa@exemplo.com
267,Paula,Pereira,1973-11-07,"Travessa C, 789",+55 21 8537-6432,paula.pereira@exemplo.com
268,Gabriel,Silva,1973-01-22,"Avenida B, 456",+55 21 6285-7177,gabriel.silva@exemplo.com
269,Ana,Costa,1970-12-24,"Alameda E, 202",+55 21 2481-4275,ana.costa@exemplo.com
270,Gabriel,Costa,1999-01-28,"Avenida B, 456",+55 21 3971-9981,gabriel.costa@exemplo.com
271,Mariana,Nascimento,1975-01-02,"Praça D, 101",+55 21 3561-5354,mariana.nascimento@exemplo.com
272,Pedro,Oliveira,1969-06-22,"Rua A, 123",+55 21 3029-1723,pedro.oliveira@exemplo.com
273,João,Rodrigues,1965-04-10,"Praça D, 101",+55 21 1405-8249,joão.rodrigues@exemplo.com
274,Ana,Lima,1975-10-11,"Avenida B, 456",+55 21 1041-9004,ana.lima@exemplo.com
275,Paula,Silva,1998-03-06,"Rua A, 123",+55 21 1642-2438,paula.silva@exemplo.com
276,Mariana,Souza,1969-05-17,"Rua A, 123",+55 21 3417-4616,mariana.souza@exemplo.com
277,Ana,Oliveira,1972-12-23,"Praça D, 101",+55 21 9632-8743,ana.oliveira@exemplo.com
278,João,Costa,1982-10-14,"Praça D, 101",+55 21 8364-6936,joão.costa@exemplo.com
279,Lucas,Silva,1992-06-13,"Rua A, 123",+55 21 1524-6057,lucas.silva@exemplo.com
280,Carlos,Oliveira,1996-08-07,"Avenida B, 456",+55 21 6267-7771,carlos.oliveira@exemplo.com
281,Gabriel,Nascimento,1984-04-22,"Rua A, 123",+55 21 9522-7324,gabriel.nascimento@exemplo.com
282,Maria,Lima,1992-08-13,"Travessa C, 789",+55 21 5209-6640,maria.lima@exemplo.com
283,Maria,Almeida,1987-04-07,"Rua A, 123",+55 21 3976-1835,maria.almeida@exemplo.com
284,João,Nascimento,1999-12-12,"Travessa C, 789",+55 21 5123-3288,joão.nascimento@exemplo.com
285,Lucas,Gomes,1983-04-15,"Praça D, 101",+55 21 2185-9761,lucas.gomes@exemplo.com
286,Gabriel,Oliveira,2000-10-17,"Rua A, 123",+55 21 6946-9939,gabriel.oliveira@exemplo.com
287,Mariana,Souza,1976-09-03,"Travessa C, 789",+55 21 5826-5104,mariana.souza@exemplo.com
288,Gabriel,Gomes,1973-04-03,"Alameda E, 202",+55 21 9228-6625,gabriel.gomes@exemplo.com
289,Maria,Oliveira,1962-12-01,"Praça D, 101",+55 21 6622-2722,maria.oliveira@exemplo.com
290,Paula,Costa,1967-01-14,"Travessa C, 789",+55 21 5069-8152,paula.costa@exemplo.com
291,Lucas,Nascimento,1997-05-26,"Praça D, 101",+55 21 4004-1472,lucas.nascimento@exemplo.com
292,Mariana,Silva,1990-12-17,"Alameda E, 202",+55 21 1967-9348,mariana.silva@exemplo.com
293,Paula,Nascimento,1967-04-08,"Travessa C, 789",+55 21 5658-9791,paula.nascimento@exemplo.com
294,Mariana,Almeida,1968-04-23,"Praça D, 101",+55 21 3445-2859,mariana.almeida@exemplo.com
295,Mariana,Gomes,1976-09-12,"Praça D, 101",+55 21 1787-7013,mariana.gomes@exemplo.com
296,Gabriel,Rodrigues,1999-10-20,"Praça D, 101",+55 21 4690-6915,gabriel.rodrigues@exemplo.com
297,Lucas,Gomes,1993-09-26,"Praça D, 101",+55 21 7618-3509,lucas.gomes@exemplo.com
298,Beatriz,Oliveira,1980-08-20,"Travessa C, 789",+55 21 2543-6562,beatriz.oliveira@exemplo.com
299,Gabriel,Nascimento,1995-06-26,"Avenida B, 456",+55 21 3691-2347,gabriel.nascimento@exemplo.com
300,Mariana,Gomes,1968-10-01,"Praça D, 101",+55 21 8010-1870,mariana.gomes@exemplo.com
